resref,status,areas,occurrences,frames,max_frame_size_x1,format,selected_run,qa_decision,qa_date,correction_id,notes
AM0205B,validé-x4,AR0205,1,9,150x145,BAM V1,,,,am0205b-interpolation-27f-15fps-canvas32,Pod ; interpolation x4 de 27 frames adressée sur les 27 positions du cycle BAM à 15 FPS et boucle de 1.8 s ; fade canvas 32 px x4 sur quatre bords ; validé en jeu le 2026-08-21 ; patchs réversibles.
AM0205C,validé-x4,AR0205,1,9,155x130,BAM V1,,,,am0205c-interpolation-27f-15fps-canvas32,Pod ; interpolation x4 de 27 frames adressée sur les 27 positions du cycle BAM à 15 FPS et boucle de 1.8 s ; fade canvas 32 px x4 sur quatre bords ; validé en jeu le 2026-08-21 ; patchs réversibles.
AM0205D,validé-x4,AR0205,1,9,130x150,BAM V1,,,,am0205d-interpolation-27f-15fps-canvas32,Pod ; interpolation x4 de 27 frames adressée sur les 27 positions du cycle BAM à 15 FPS et boucle de 1.8 s ; fade canvas 32 px x4 sur quatre bords ; validé en jeu le 2026-08-21 ; patchs réversibles.
AM0205E,validé-x4,AR0205,1,9,165x130,BAM V1,,,,am0205e-interpolation-27f-15fps,Version interpolée x4 de 27 frames adressée sur les 27 positions du cycle BAM; cadence native d'environ 15 FPS et boucle de 1.8 s; validée en jeu le 2026-08-21; patch réversible.
AM0300A,validé-x4,AR0300,1,6,210x220,BAM V1,animations/batches/cheminees-am003xa-am0323a-am0309a-am0300a-apo8-x4-30fps-v2-20260921,animations/index/qa-decisions/AM0300A/2026-09-21-accepted-cheminees-am003xa-am0323a-am0309a-am0300a-apo8-x4-30fps-v2-20260921.json,2026-09-21,,"Cage de brasero, alpha strict 0x10C1, 6 poses doublees -> 24 phases, alpha native (recette MECANIQUE-SEEDVR-ALPHA-NATIVE)."
AM0307BH,à-valider,AR0307;AR0329,2,7,170x130,BAM V1,,,,,"Traité : collapse des maintiens puis TimedTimeline 30 fps Apollo-8 et fondu canvas 18 % ; run animations/batches/ar0307-am0307bh-am307red-edgefade18-20260917. Installé le 2026-09-17 ; QA non validée, révision ultérieure requise."
AM0308A,à-valider,AR0308,8,8,71x77,BAM V1,,,,,"Traité : xBR2×2 x4, collapse des maintiens, TimedTimeline 30 fps, spline/feather et flou RGB gaussien sigma 2 x4 sans changement de géométrie ni d'alpha ; run animations/ressources/AM0308A/runs/am0308a-xbr2x-nearest2-x4-30fps-collapse-holds-spline-fit1-rgb-dilate-gaussian2-geometry-preserved-20260917. Installé le 2026-09-17 ; QA non validée, révision ultérieure requise."
AM0309A,validé-x4,AR0309,1,9,155x165,BAM V1,animations/ressources/AM0309A/runs/ar0309-am0309a-holefill1024-animzone-mask-v1-20260921,animations/index/qa-decisions/AM0309A/2026-09-21-accepted-ar0309-am0309a-holefill1024-animzone-mask-v1-20260921.json,2026-09-21,ar0309-am0309a-holefill1024-animzone-mask-v1,"Rectangle opaque 97 %, 9 poses doublees -> 36 phases. Installer lie a l'occurrence (945,763) : feuille ar0309-am0309a-animzone-bound-merged-20260921."
AM0322A,validé-x4,AR0302;AR0322,2,9,164x138,BAM V1,animations/batches/am0322ab-apo8-x4-30fps-v2-innerfade8-20260919,animations/index/qa-decisions/AM0322A/2026-09-19-accepted-am0322ab-apo8-x4-30fps-v2-innerfade8-20260919.json,2026-09-19,alpha-strict-innerfade8-open-canvas-edges,"QA ingame AR0302 validee par l'utilisateur le 2026-09-19 (AR0322 etendue par signature identique). Cheminee et sol de Mae'Var's Inn RDC, opaque, non Blended. SeedVR2 7B/LAB x4, Apollo-8 30 fps a maintiens uniformes condenses (9 poses -> 36 phases, 1,2 s, aucun doublon), fondu alpha interieur strict 8 px x4 a bords canvas ouverts, RGB droit dilate sous alpha nul (meme traitement que AM0406A/B). Flou gaussien sur la flamme (sigma 3,5 puis 1,5) essaye et refuse : trop flou. La flamme brute SeedVR garde des facettes inventees, acceptee."
AM0322B,validé-x4,AR0302;AR0322,2,9,159x132,BAM V1,animations/batches/am0322ab-apo8-x4-30fps-v2-innerfade8-20260919,animations/index/qa-decisions/AM0322B/2026-09-19-accepted-am0322ab-apo8-x4-30fps-v2-innerfade8-20260919.json,2026-09-19,alpha-strict-innerfade8-open-canvas-edges,"QA ingame AR0302 validee par l'utilisateur le 2026-09-19 (AR0322 etendue par signature identique). Cheminee, fauteuil et tapis de Mae'Var's Inn RDC, opaque, non Blended, meme chaine et memes parametres qu'AM0322A (lot AM0322A/B). Flamme brute SeedVR sans flou."
AM0323A,validé-x4,AR0303;AR0323,2,9,179x139,BAM V1,animations/batches/cheminees-am003xa-am0323a-am0309a-apo8-x4-30fps-v2-innerfade8-20260921,animations/index/qa-decisions/AM0323A/2026-09-21-accepted-cheminees-am003xa-am0323a-am0309a-apo8-x4-30fps-v2-innerfade8-20260921.json,2026-09-21,alpha-strict-innerfade8-open-canvas-edges,"Cheminee, alpha strict 0x1101, 9 poses doublees -> 36 phases. AR0323 etendue par signature."
AM0406A,validé-x4,AR0406,1,9,105x110,BAM V1,animations/ressources/AM0406A/runs/ar0406-am0406a-mosaic-innerfade8-open-20260918,animations/index/qa-decisions/AM0406A/2026-09-18-accepted-am0406a-ar0406-mosaic-innerfade8-open.json,2026-09-18,alpha-strict-innerfade8-open-canvas-edges,"QA ingame AR0406 validée par l'utilisateur le 2026-09-18. SeedVR2 7B/LAB x4 sur mosaïque monde A|B (raccord AM0406A/B continu à x=1090), Apollo-8 30 fps, fade alpha strict 8 px x4 à bords canvas ouverts, RGB droit dilaté sous alpha nul. Frame 5 doublée du lookup conservée et étalée (segments pondérés 2,2,2,2,2,4,2,2,2 ; 10 slots → 20 phases, 0,667 s)."
AM0406B,validé-x4,AR0406,2,9,143x119,BAM V1,animations/ressources/AM0406B/runs/ar0406-am0406b-mosaic-innerfade8-open-20260918,animations/index/qa-decisions/AM0406B/2026-09-18-accepted-am0406b-ar0406-mosaic-innerfade8-open.json,2026-09-18,alpha-strict-innerfade8-open-canvas-edges,"QA ingame AR0406 validée par l'utilisateur le 2026-09-18. SeedVR2 7B/LAB x4 sur mosaïque monde A|B (raccord AM0406A/B continu à x=1090), Apollo-8 30 fps, fade alpha strict 8 px x4 à bords canvas ouverts, RGB droit dilaté sous alpha nul. Poses toutes doublées : maintiens uniformes condensés (9 poses → 36 phases, 1,2 s)."
AM0411RN,à-valider,AR0411;OH5400;OH5500,8,30,99x99,BAM V1,,,,,x4 SeedVR 7B LAB ; TimedTimeline Apollo-8 15→30 FPS (30→60 phases) ; Spline Fit 1 Multi-Contour / feather 4 ; RGB prémultiplié Blended. Rendu AR0411 explicitement accepté le 2026-09-11 ; QA globale conservée ouverte : OH5400 et OH5500 non vérifiées. Run final animations/ressources/AM0411RN/runs/am0411rn-magic-sphere-apo8-x4-30fps-spline-fit1-feather4-20260911 ; packs installés AR0411/OH5400/OH5500.
AM0504SB,non-traité,AR0504,6,20,26x40,BAM V1,,,,,
AM0510A,à-compléter,AR0510,1,9,128x128,BAM V1,,,,,"AR0510 (theatre du Five Flagons), 128x128, opaque a 99,8 % (31 pixels transparents par frame), non Blended (flags ARE 0x1141, planning 0xFFFFFFFF : affiche en permanence, sans declencheur), fenetre en arche lumineuse et halo au sol. Traite le 2026-09-19 : x4 SeedVR2 7B INT8/LAB (run am0510a-seedvr7b-lab-x4-20260919), puis TimedTimeline v2 Apollo-8 15->30 fps (run am0510a-apo8-x4-30fps-v2-20260919, 9 poses -> 18 phases, 0,6 s). Frames doubles verifiees avant interpolation : aucun hash identique, aucun indice repete, ecart moyen entre frames consecutives >= 3,15/255, collapse_eligible false ; apres interpolation aucune phase doublon, ancres natives identiques octet pour octet au pack de base, couture 17->0 fermee. Seule la zone 18,5 % des pixels (fenetre et halo, lignes 3-75, colonnes 46-125) s'anime ; le reste ne varie que par bruit de palette (ecart-type 1 a 3) et SeedVR le durcit, d'ou un masque peint a la main obligatoire (precedent AM0602B). EN ATTENTE : masque 512x512 a peindre par l utilisateur (blanc anime, gris fondu, noir retire) sur animations/ressources/AM0510A/paint-ready-am0510a/ (origine monde x1 839,397), puis build_manual_alpha_mask_30fps_v2.py, pack feuille AR0510 (FLAME2S, FLAME2M, FLMS, AM0510A) et installation AreaTest. Non installe : QA ingame impossible tant que le masque n existe pas."
AM0516LA,validé-x4,AR0516,1,4,189x173,BAM V1,animations/batches/ar0516-labc-apo8-x4-30fps-hybrid-custom-blink-lc-exact-repeat-20260917,animations/index/qa-decisions/AM0516LA/2026-09-17-accepted-ar0516-labc-apo8-x4-30fps-hybrid-custom-blink-lc-exact-repeat-20260917.json,2026-09-17,,TimedTimeline 30 fps par segments ; QA ingame AR0516 validée le 2026-09-17.
AM0516LB,validé-x4,AR0516,1,5,209x197,BAM V1,animations/batches/ar0516-labc-apo8-x4-30fps-hybrid-custom-blink-lc-exact-repeat-20260917,animations/index/qa-decisions/AM0516LB/2026-09-17-accepted-ar0516-labc-apo8-x4-30fps-hybrid-custom-blink-lc-exact-repeat-20260917.json,2026-09-17,,TimedTimeline 30 fps par segments ; QA ingame AR0516 validée le 2026-09-17.
AM0516LC,validé-x4,AR0516,1,5,207x193,BAM V1,animations/batches/ar0516-labc-apo8-x4-30fps-hybrid-custom-blink-lc-exact-repeat-20260917,animations/index/qa-decisions/AM0516LC/2026-09-17-accepted-ar0516-labc-apo8-x4-30fps-hybrid-custom-blink-lc-exact-repeat-20260917.json,2026-09-17,,Cycle régulier de quatre clignotements à 30 fps ; QA ingame AR0516 validée le 2026-09-17.
AM0516LD,validé-x4,AR0516,1,5,253x251,BAM V1,animations/ressources/AM0516LD/runs/am0516ld-apo8-x4-30fps-custom-blink-exact-repeat-20260917,animations/index/qa-decisions/AM0516LD/2026-09-17-accepted-am0516ld-apo8-x4-30fps-custom-blink-exact-repeat-20260917.json,2026-09-17,ar0516-all-bam-seedvr7b-lab-x4,Cycle reconstruit de neuf clignotements réguliers à 30 fps ; QA ingame AR0516 validée le 2026-09-17.
AM0602AA,validé-x4,AR0602,1,9,97x109,BAM V1,,,,ar0602-pack-x4,"Pack x4 AR0602; validation utilisateur; V2 am0602aa-ab-ac-apo8-x4-30fps-v2; TimedTimeline 15->30; QA ingame validée le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602AB,validé-x4,AR0602,1,9,105x96,BAM V1,,,,ar0602-pack-x4,"Pack x4 AR0602; validation utilisateur; V2 am0602aa-ab-ac-apo8-x4-30fps-v2; TimedTimeline 15->30; QA ingame validée le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602AC,validé-x4,AR0602,1,9,64x76,BAM V1,,,,ar0602-pack-x4,"Pack x4 AR0602; validation utilisateur; V2 am0602aa-ab-ac-apo8-x4-30fps-v2; TimedTimeline 15->30; QA ingame validée le 2026-08-23; amélioration visuelle manuelle possible: animation source peu convaincante; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602B,validé-x4,AR0602,1,9,100x95,BAM V1,,,,am0602b-deheld-manual-floor-mask-30fps-v2,"Cheminée x4; V2 TimedTimeline 30 FPS deheld (9 poses source + 27 intermédiaires); masque manuel sol répété sur les 36 phases; RGB inchangé; alpha seul; validé en jeu le 2026-08-23; installation réversible; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602C,validé-x4,AR0602,1,7,195x140,BAM V1,,,,ar0602-eau-inner8-canvas32,"Animation eau; 7B x4 rejeté (hachures) ; 3B x4 retenu après test visuel ; fondu de silhouette 8 px x4 + canvas 32 px x4 ; validé en jeu le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602D,validé-x4,AR0602,1,7,195x140,BAM V1,,,,ar0602-eau-inner8-canvas32,"Animation eau; 7B x4 rejeté (hachures) ; 3B x4 appliqué par lot avec AM0602C/E/G ; fondu de silhouette 8 px x4 + canvas 32 px x4 ; validé en jeu le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
