resref,status,areas,occurrences,frames,max_frame_size_x1,format,correction_id,notes
AM0205B,validé-x4,AR0205,1,9,150x145,BAM V1,am0205b-interpolation-27f-15fps-canvas32,Pod ; interpolation x4 de 27 frames adressée sur les 27 positions du cycle BAM à 15 FPS et boucle de 1.8 s ; fade canvas 32 px x4 sur quatre bords ; validé en jeu le 2026-08-21 ; patchs réversibles.
AM0205C,validé-x4,AR0205,1,9,155x130,BAM V1,am0205c-interpolation-27f-15fps-canvas32,Pod ; interpolation x4 de 27 frames adressée sur les 27 positions du cycle BAM à 15 FPS et boucle de 1.8 s ; fade canvas 32 px x4 sur quatre bords ; validé en jeu le 2026-08-21 ; patchs réversibles.
AM0205D,validé-x4,AR0205,1,9,130x150,BAM V1,am0205d-interpolation-27f-15fps-canvas32,Pod ; interpolation x4 de 27 frames adressée sur les 27 positions du cycle BAM à 15 FPS et boucle de 1.8 s ; fade canvas 32 px x4 sur quatre bords ; validé en jeu le 2026-08-21 ; patchs réversibles.
AM0205E,validé-x4,AR0205,1,9,165x130,BAM V1,am0205e-interpolation-27f-15fps,Version interpolée x4 de 27 frames adressée sur les 27 positions du cycle BAM; cadence native d'environ 15 FPS et boucle de 1.8 s; validée en jeu le 2026-08-21; patch réversible.
AM0300A,non-traité,AR0300,1,6,210x220,BAM V1,,
AM0307BH,validé-x4,AR0307;AR0329,2,7,170x130,BAM V1,ar0307-ar0329-six-bam-apo8-x4-30fps-v2-20260831,"Bain ; x4 SeedVR2 7B/LAB (run ar0307-ar0329-six-bam-seedvr7b-lab-x4-20260831), puis V2 TimedTimeline 30 FPS apo-8 (run ar0307-ar0329-six-bam-apo8-x4-30fps-v2-20260831 ; 7 frames natives -> 21 frames, 28 phases) ; livré par pack de zone combined-20260831-ar0307-ar0329-six-bam-30fps-v2 ; QA ingame utilisateur validée le 2026-08-31."
AM0308A,non-traité,AR0308,8,8,71x77,BAM V1,,
AM0309A,non-traité,AR0309,1,9,155x165,BAM V1,,
AM0322A,non-traité,AR0302;AR0322,2,9,164x138,BAM V1,,
AM0322B,non-traité,AR0302;AR0322,2,9,159x132,BAM V1,,
AM0323A,non-traité,AR0303;AR0323,2,9,179x139,BAM V1,,
AM0406A,non-traité,AR0406,1,9,105x110,BAM V1,,
AM0406B,non-traité,AR0406,2,9,143x119,BAM V1,,
AM0411RN,non-traité,AR0411;OH5400;OH5500,8,30,99x99,BAM V1,,
AM0504SB,non-traité,AR0504,6,20,26x40,BAM V1,,
AM0510A,non-traité,AR0510,1,9,128x128,BAM V1,,
AM0516LA,validé-x4,AR0516,1,4,189x173,BAM V1,ar0516-5of6-apo8-x4-30fps-v2,"Planar Prison (AR0516); x4 SeedVR2 7B/LAB (run ar0516-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0516-5of6-apo8-x4-30fps-v2); 4 frames natives -> 26 frames (44 phases); livré par pack de zone; QA en jeu validée le 2026-08-23; réserve d'arbitrage utilisateur : beaucoup de travail pour un résultat jugé mineur ; reprise manuelle possible au montage vidéo ou abandon, décision reportée à la fin du projet ; ne pas relancer de traitement automatique sur ce resref sans nouvelle instruction."
AM0516LB,validé-x4,AR0516,1,5,209x197,BAM V1,ar0516-5of6-apo8-x4-30fps-v2,"Planar Prison (AR0516); x4 SeedVR2 7B/LAB (run ar0516-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0516-5of6-apo8-x4-30fps-v2); 5 frames natives -> 33 frames (56 phases); livré par pack de zone; QA en jeu validée le 2026-08-23; réserve d'arbitrage utilisateur : beaucoup de travail pour un résultat jugé mineur ; reprise manuelle possible au montage vidéo ou abandon, décision reportée à la fin du projet ; ne pas relancer de traitement automatique sur ce resref sans nouvelle instruction."
AM0516LC,validé-x4,AR0516,1,5,207x193,BAM V1,ar0516-5of6-apo8-x4-30fps-v2,"Planar Prison (AR0516); x4 SeedVR2 7B/LAB (run ar0516-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0516-5of6-apo8-x4-30fps-v2); 5 frames natives -> 46 frames (82 phases); livré par pack de zone; QA en jeu validée le 2026-08-23; réserve d'arbitrage utilisateur : beaucoup de travail pour un résultat jugé mineur ; reprise manuelle possible au montage vidéo ou abandon, décision reportée à la fin du projet ; ne pas relancer de traitement automatique sur ce resref sans nouvelle instruction."
AM0516LD,validé-x4,AR0516,1,5,253x251,BAM V1,ar0516-all-bam-seedvr7b-lab-x4,"Planar Prison (AR0516); x4 SeedVR2 7B/LAB (run ar0516-all-bam-seedvr7b-lab-x4) seul, reste Native ; cycle natif de 94 positions pour 5 frames uniques, conversion 30 FPS écartée (coût +364 Mio, dépasse le plafond runtime de la zone à elle seule) ; livré par pack de zone; QA en jeu validée le 2026-08-23; réserve d'arbitrage utilisateur : beaucoup de travail pour un résultat jugé mineur ; reprise manuelle possible au montage vidéo ou abandon, décision reportée à la fin du projet ; ne pas relancer de traitement automatique sur ce resref sans nouvelle instruction."
AM0602AA,validé-x4,AR0602,1,9,97x109,BAM V1,ar0602-pack-x4,"Pack x4 AR0602; validation utilisateur; V2 am0602aa-ab-ac-apo8-x4-30fps-v2; TimedTimeline 15->30; QA ingame validée le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602AB,validé-x4,AR0602,1,9,105x96,BAM V1,ar0602-pack-x4,"Pack x4 AR0602; validation utilisateur; V2 am0602aa-ab-ac-apo8-x4-30fps-v2; TimedTimeline 15->30; QA ingame validée le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602AC,validé-x4,AR0602,1,9,64x76,BAM V1,ar0602-pack-x4,"Pack x4 AR0602; validation utilisateur; V2 am0602aa-ab-ac-apo8-x4-30fps-v2; TimedTimeline 15->30; QA ingame validée le 2026-08-23; amélioration visuelle manuelle possible: animation source peu convaincante; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602B,validé-x4,AR0602,1,9,100x95,BAM V1,am0602b-deheld-manual-floor-mask-30fps-v2,"Cheminée x4; V2 TimedTimeline 30 FPS deheld (9 poses source + 27 intermédiaires); masque manuel sol répété sur les 36 phases; RGB inchangé; alpha seul; validé en jeu le 2026-08-23; installation réversible; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602C,validé-x4,AR0602,1,7,195x140,BAM V1,ar0602-eau-inner8-canvas32,"Animation eau; 7B x4 rejeté (hachures) ; 3B x4 retenu après test visuel ; fondu de silhouette 8 px x4 + canvas 32 px x4 ; validé en jeu le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602D,validé-x4,AR0602,1,7,195x140,BAM V1,ar0602-eau-inner8-canvas32,"Animation eau; 7B x4 rejeté (hachures) ; 3B x4 appliqué par lot avec AM0602C/E/G ; fondu de silhouette 8 px x4 + canvas 32 px x4 ; validé en jeu le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602E,validé-x4,AR0602,1,7,75x90,BAM V1,ar0602-eau-inner8-canvas32,"Animation eau; 7B x4 rejeté (hachures) ; 3B x4 appliqué par lot avec AM0602C/D/G ; fondu de silhouette 8 px x4 + canvas 32 px x4 ; validé en jeu le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602F,validé-x4,AR0602,1,9,165x195,BAM V1,am0602f-lantern-apo8-x4-30fps-v2-active-rebase,"Lanterne; fondu objet 8 px x4 et canvas 32 px x4 validés; V2 TimedTimeline 15 -> 30 FPS (9 poses natives + 9 intermédiaires, 18 phases); pack installé avec sauvegarde réversible; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0602G,validé-x4,AR0602,1,7,70x140,BAM V1,ar0602-eau-inner8-canvas32,"Animation eau; 7B x4 rejeté (hachures) ; 3B x4 appliqué par lot avec AM0602C/D/E ; fondu de silhouette 8 px x4 + canvas 32 px x4 ; validé en jeu le 2026-08-23; livré par pack de zone AR0602 depuis le 2026-08-23, assets inchangés, QA rejouée OK."
AM0602J,à-corriger,AR0601,1,8,248x126,BAM V1,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 8 frames natives -> 16 frames (16 phases); installé et actif en jeu depuis le 2026-08-23, mais réserve utilisateur : la boucle n'est pas correcte (roue/mécanisme) ; correction manuelle prévue côté montage vidéo par l'utilisateur ; reprendre ce resref quand le correctif est prêt, ne pas re-générer l'interpolation automatiquement sans nouvelle analyse."
AM0602K1,validé-x4,AR0601,1,8,136x198,BAM V1,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601, antichambre du donjon d'Irenicus); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 8 frames natives -> 16 frames (16 phases); livré par pack de zone; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0602K2,validé-x4,AR0601,1,8,135x203,BAM V1,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601, antichambre du donjon d'Irenicus); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 8 frames natives -> 16 frames (16 phases); livré par pack de zone; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0602L1,validé-x4,AR0601,1,6,151x221,BAM V1,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601, antichambre du donjon d'Irenicus); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 6 frames natives -> 12 frames (12 phases); livré par pack de zone; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0602L2,validé-x4,AR0601,1,6,151x221,BAM V1,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601, antichambre du donjon d'Irenicus); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 6 frames natives -> 12 frames (12 phases); livré par pack de zone; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0602M,validé-x4,AR0601,1,8,204x210,BAM V1,ar0601-all-bam-apo8-x4-30fps-v2,"Air Plane (AR0601, antichambre du donjon d'Irenicus); x4 SeedVR2 7B/LAB (run ar0601-all-bam-seedvr7b-lab-x4); V2 TimedTimeline 30 FPS apo-8 (run ar0601-all-bam-apo8-x4-30fps-v2); 8 frames natives -> 16 frames (16 phases); livré par pack de zone; QA en jeu validée par l'utilisateur le 2026-08-23."
AM0603A,validé-x4,AR0603,1,9,132x113,BAM V1,ar0603-all-bam-apo8-x4-30fps-v2,"Pack x4 AR0603 (run ar0603-all-bam-seedvr7b-lab-x4); V2 ar0603-all-bam-apo8-x4-30fps-v2; TimedTimeline 15->30; 27 frames, 36 phases; QA ingame validée le 2026-08-23; livré par pack de zone AR0603."
AM0603B,validé-x4,AR0603,1,9,92x95,BAM V1,ar0603-all-bam-apo8-x4-30fps-v2,"Pack x4 AR0603 (run ar0603-all-bam-seedvr7b-lab-x4); V2 ar0603-all-bam-apo8-x4-30fps-v2; TimedTimeline 15->30; 27 frames, 36 phases; QA ingame validée le 2026-08-23; livré par pack de zone AR0603."
AM0603C1,validé-x4,AR0603,1,4,154x109,BAM V1,ar0603-all-bam-apo8-x4-30fps-v2,"Pack x4 AR0603 (run ar0603-all-bam-seedvr7b-lab-x4); V2 ar0603-all-bam-apo8-x4-30fps-v2; TimedTimeline 15->30; 8 frames, 8 phases; QA ingame validée le 2026-08-23; livré par pack de zone AR0603."
AM0603C2,validé-x4,AR0603,1,4,154x112,BAM V1,ar0603-all-bam-apo8-x4-30fps-v2,"Pack x4 AR0603 (run ar0603-all-bam-seedvr7b-lab-x4); V2 ar0603-all-bam-apo8-x4-30fps-v2; TimedTimeline 15->30; 8 frames, 8 phases; QA ingame validée le 2026-08-23; livré par pack de zone AR0603."
AM0603D1,validé-x4,AR0603,1,6,121x89,BAM V1,ar0603-all-bam-apo8-x4-30fps-v2,"Pack x4 AR0603 (run ar0603-all-bam-seedvr7b-lab-x4); V2 ar0603-all-bam-apo8-x4-30fps-v2; TimedTimeline 15->30; 18 frames, 24 phases; QA ingame validée le 2026-08-23; livré par pack de zone AR0603."
AM0603D2,validé-x4,AR0603,1,6,119x94,BAM V1,ar0603-all-bam-apo8-x4-30fps-v2,"Pack x4 AR0603 (run ar0603-all-bam-seedvr7b-lab-x4); V2 ar0603-all-bam-apo8-x4-30fps-v2; TimedTimeline 15->30; 18 frames, 24 phases; QA ingame validée le 2026-08-23; livré par pack de zone AR0603."
